protocol_type,service,flag,class_
1,45,1,0
1,45,1,0
1,19,9,1
0,13,9,0
1,55,2,0
1,22,9,1
1,49,9,1
1,55,9,0
1,22,9,1
1,18,9,0
1,55,9,0
1,49,9,1
1,45,1,0
1,55,5,0
1,55,9,1
1,22,9,1
1,22,9,1
1,22,9,1
2,45,9,1
1,45,1,0
1,28,1,0
1,43,5,0
1,22,9,1
1,22,9,1
1,5,1,0
1,9,2,0
1,22,9,1
1,22,9,1
0,14,9,0
2,45,9,1
1,22,4,0
1,49,9,1
1,22,9,1
2,45,9,1
1,45,1,0
1,24,2,0
1,22,9,1
1,18,9,0
2,11,9,1
1,19,9,1
1,45,5,0
1,22,9,1
1,22,9,1
1,22,9,1
1,31,1,0
1,22,9,1
1,54,5,0
1,22,9,0
1,55,5,0
2,45,9,1
1,22,9,1
1,22,9,1
1,25,1,0
1,45,1,0
1,18,9,0
1,22,9,1
1,24,1,0
2,45,9,0
1,55,9,0
1,22,9,1
1,43,9,0
1,19,9,0
1,22,9,1
1,22,9,1
1,40,1,0
1,22,9,1
1,55,1,0
1,45,1,0
1,49,5,0
1,22,9,1
1,45,1,0
1,49,9,1
1,22,9,1
1,22,9,1
1,6,1,0
1,22,9,1
1,22,9,1
1,55,9,0
1,22,9,1
1,22,9,1
1,45,1,0
1,45,1,0
0,14,9,0
1,22,9,1
1,22,9,1
1,22,9,1
1,17,2,0
1,43,2,0
1,22,9,1
1,19,9,1
1,22,9,1
1,22,9,1
1,45,1,0
1,40,1,0
1,43,9,0
1,49,9,1
1,22,9,1
2,11,9,1
1,45,10,0
1,60,2,0
1,40,5,0
1,18,9,0
1,45,1,0
1,45,1,0
1,49,9,1
1,45,1,0
1,55,9,0
1,22,9,1
1,45,1,0
1,22,9,1
1,22,9,1
1,45,1,0
1,55,9,0
1,55,9,0
1,22,9,1
1,45,5,0
1,22,9,1
0,14,9,0
1,63,1,0
2,45,9,0
1,22,9,1
0,14,9,0
1,45,10,0
1,45,1,0
1,17,9,1
2,11,9,1
1,55,9,0
1,45,1,0
1,22,9,1
2,11,9,1
2,11,9,1
1,22,9,1
1,55,8,0
1,22,9,1
1,55,9,0
1,22,9,1
1,45,1,0
2,45,9,0
1,24,2,0
1,22,9,1
1,22,9,1
2,11,9,1
1,45,1,0
1,45,1,0
1,22,4,0
0,13,9,0
1,55,5,0
1,45,1,0
1,22,9,1
1,55,9,0
1,55,2,0
1,45,5,0
0,14,9,0
1,49,9,0
1,22,9,1
1,45,1,0
1,55,9,0
1,31,1,0
1,34,5,0
1,45,5,0
1,45,1,0
1,54,5,0
1,40,1,0
1,45,2,0
1,18,9,0
1,24,5,0
1,45,5,0
1,18,9,0
1,22,9,1
1,45,5,0
1,55,9,0
1,22,9,1
1,45,1,0
1,45,1,0
1,22,4,0
1,22,9,1
1,45,1,0
1,40,1,0
1,55,9,0
1,49,9,1
0,14,9,0
2,11,9,1
1,22,9,1
1,22,9,1
2,11,9,1
1,43,9,0
1,45,1,0
1,29,1,0
2,11,9,1
1,45,1,0
1,22,9,1
1,55,9,0
1,17,2,0
1,49,9,1
1,22,9,1
2,11,9,1
1,18,9,1
1,18,9,0
1,2,1,0
2,45,9,0
1,55,2,0
1,22,9,1
1,22,5,0
1,22,9,1
1,22,9,1
1,40,1,0
1,63,1,0
1,55,8,0
1,22,9,1
1,22,9,1
1,22,4,0
1,19,9,0
1,22,9,1
1,22,9,1
2,45,9,1
0,14,9,0
1,22,9,1
2,11,9,1
1,22,9,1
2,45,9,0
1,22,9,1
1,22,9,1
2,45,9,1
1,45,1,0
1,22,9,1
1,22,9,0
1,22,9,1
1,45,5,0
2,11,9,1
1,22,9,1
2,45,9,1
1,52,1,0
1,19,9,0
1,22,9,1
1,3,1,0
0,14,9,0
1,22,5,0
2,45,9,1
1,22,4,0
1,55,9,0
1,49,9,1
2,11,9,1
1,22,5,0
1,45,1,0
1,45,5,0
1,22,9,1
1,18,9,0
1,45,5,0
1,33,5,0
1,22,9,1
1,49,9,1
1,49,9,1
1,43,9,0
1,22,9,1
1,45,5,0
1,40,1,0
1,55,5,0
1,22,9,1
1,18,9,0
1,22,9,1
1,22,9,1
1,19,9,0
1,22,9,1
1,45,1,0
1,55,2,0
1,45,5,0
1,18,9,0
2,11,9,1
1,22,9,1
0,13,9,0
1,61,1,0
1,22,9,1
1,45,5,0
1,45,4,0
1,45,1,0
2,45,9,1
1,55,1,0
1,22,9,1
1,45,2,0
1,45,1,0
2,45,9,1
1,19,9,0
1,19,9,0
1,24,5,0
1,17,5,0
1,22,9,1
1,18,9,0
1,45,1,0
1,22,9,1
1,55,8,0
1,22,9,1
1,40,1,0
1,43,2,0
1,22,9,1
1,22,9,1
2,45,9,1
1,52,1,0
1,22,9,1
1,62,1,0
1,22,9,1
1,45,1,0
1,22,7,0
2,45,9,1
1,43,9,0
2,45,9,1
1,22,9,1
1,40,1,0
1,18,9,0
1,45,1,0
1,10,5,0
1,40,1,0
1,22,9,1
2,45,9,1
1,22,9,1
1,19,9,1
1,45,1,0
1,43,9,0
1,22,9,1
1,45,1,0
1,22,9,1
1,22,9,1
1,49,9,1
1,22,9,1
1,45,1,0
1,22,9,1
1,19,9,0
0,14,9,0
1,55,9,0
1,24,2,0
1,45,1,0
1,22,1,0
1,45,6,1
1,45,1,0
2,11,9,1
1,34,1,0
1,22,9,1
1,22,9,1
2,45,9,1
1,45,1,0
1,45,1,0
1,43,1,0
1,22,5,0
1,22,9,1
2,11,9,1
1,22,9,0
2,45,9,0
1,55,9,0
1,40,1,0
1,55,9,0
2,11,9,1
1,31,5,0
1,45,1,0
1,43,9,0
1,22,9,1
1,22,9,1
1,43,9,0
1,22,9,1
2,11,9,1
2,45,9,1
1,32,1,0
1,22,9,1
1,22,9,1
1,45,1,0
1,22,9,1
1,22,9,1
1,49,9,1
2,45,9,1
1,45,1,0
1,22,9,1
2,45,9,0
2,11,9,1
1,45,1,0
1,22,9,0
2,45,9,1
1,22,9,1
1,45,1,0
1,55,9,0
1,43,9,0
1,45,1,0
1,22,9,1
1,22,9,1
1,55,9,0
1,45,5,0
1,55,8,0
1,55,9,1
2,11,9,1
1,45,1,0
1,49,9,1
1,19,9,1
1,18,9,1
1,55,9,0
1,22,9,1
1,45,1,0
1,40,1,0
1,22,9,1
1,22,9,1
0,14,9,0
1,22,9,1
1,22,9,1
2,45,9,1
1,45,5,0
1,22,9,1
1,43,9,0
1,22,1,0
1,22,9,1
1,42,1,0
1,22,9,1
2,45,9,0
1,55,9,0
1,45,5,0
1,22,9,1
1,55,5,0
2,45,9,1
1,40,1,0
1,22,9,1
1,22,9,1
1,22,9,0
1,2,1,0
1,49,9,0
1,49,9,1
1,23,5,0
1,22,9,1
1,22,9,1
1,45,1,0
1,22,9,1
1,19,9,1
1,43,2,0
1,40,4,1
1,45,1,0
2,40,9,0
1,17,2,0
1,22,9,1
1,49,9,0
2,45,9,1
